Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
BELBUCA (U),55700-867-60, , , , ,"Quality Care Products, LLC", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE (U),68071-2592-3, , , , ,"NuCare Pharmaceuticals,Inc.", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE (U),50090-5805-0, , , , ,A-S Medication Solutions, , , , , ,N/A, , ,N/A,N/A,N/A, 
Buprenorphine and Naloxone (U),70518-3129-0, , , , ,REMEDYREPACK INC., , , , , ,N/A, , ,N/A,N/A,N/A, 
buprenorphine hydrochloride (U),50090-1571-0, , , , ,A-S Medication Solutions, , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE (U),16729-549-10, , , , ,"Accord Healthcare, Inc", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE (U),16729-550-10, , , , ,"Accord Healthcare, Inc", , , , , ,N/A, , ,N/A,N/A,N/A, 
Buprenex,12496-0757-5,.3 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,NDA018401,Indivior Inc.,12496-0757,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/1985,N/A,NDA,5 AMPULE in 1 CARTON (12496-0757-5)  / 1 mL in 1 AMPULE (12496-0757-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,0409-2012-32,.3 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA074137,"Hospira, Inc.",0409-2012,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/14/2005,N/A,ANDA,10 CARTRIDGE in 1 CARTON (0409-2012-32)  / 1 mL in 1 CARTRIDGE (0409-2012-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,0143-9246-05,.324 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA076931,Hikma Pharmaceuticals USA Inc.,0143-9246,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/12/2019,N/A,ANDA,5 VIAL in 1 CARTON (0143-9246-05)  / 1 mL in 1 VIAL (0143-9246-01),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,42023-179-05,.324 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA206586,"Par Pharmaceutical, Inc.",42023-179,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/30/2015,N/A,ANDA,5 VIAL in 1 CARTON (42023-179-05)  / 1 mL in 1 VIAL,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-907-30,".7 mg/1,                         .18  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-907,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-907-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-914-30,"1.4 mg/1,                         .36  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-914,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-914-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3657-40,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3657,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3657-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-493-40,10 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-493,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-493-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1203-2,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1203,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1203-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine transdermal system,47781-407-04,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA207490,Alvogen Inc.,47781-407,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,08/29/2022,N/A,ANDA,4 POUCH in 1 CARTON (47781-407-04)  / 1 PATCH in 1 POUCH (47781-407-11)  / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Butrans,59011-751-04,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,NDA021306,Purdue Pharma LP,59011-751,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/14/2011,N/A,NDA,4 POUCH in 1 CARTON (59011-751-04)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
SUBLOCADE,12496-0100-1,100 mg/1,SOLUTION,SUBCUTANEOUS,NDA209819,Indivior Inc.,12496-0100,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/26/2018,N/A,NDA,1 POUCH in 1 CARTON (12496-0100-1)  / 1 SYRINGE in 1 POUCH (12496-0100-2)  / 1 SOLUTION in 1 SYRINGE (12496-0100-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-114-30,"11.4 mg/1,                         2.9  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-114,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/11/2014,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-114-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,0378-8768-93,"12 mg/1,                         3  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA207607,Mylan Pharmaceuticals Inc.,0378-8768,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/20/2019,N/A,ANDA,30 POUCH in 1 CARTON (0378-8768-93)  / 1 FILM in 1 POUCH (0378-8768-16),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,47781-358-03,"12 mg/1,                         3  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA205954,Alvogen Inc.,47781-358,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/11/2019,N/A,ANDA,30 POUCH in 1 CARTON (47781-358-03)  / 1 FILM in 1 POUCH (47781-358-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,60505-7054-5,"12 mg/1,                         3  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA212756,Apotex Corp.,60505-7054,buprenorphine and naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/12/2022,N/A,ANDA,30 POUCH in 1 CARTON (60505-7054-5)  / 1 FILM in 1 POUCH (60505-7054-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,43598-581-30,"12 mg/1,                         3  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,ANDA205806,Dr.Reddys Laboratories Inc,43598-581,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/14/2018,N/A,ANDA,"30 POUCH in 1 CARTON (43598-581-30)  / 1 FILM, SOLUBLE in 1 POUCH (43598-581-01)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Suboxone,12496-1212-3,"12 mg/1,                         3  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,NDA022410,INDIVIOR INC.,12496-1212,"buprenorphine hydrochloride, naloxone hydrochloride",BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2012,N/A,NDA,"30 POUCH in 1 CARTON (12496-1212-3)  / 1 FILM, SOLUBLE in 1 POUCH (12496-1212-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-586-40,15 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-586,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-586-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1204-2,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1204,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1204-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3658-40,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3658,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3658-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine transdermal system,47781-419-04,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA207490,Alvogen Inc.,47781-419,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,08/29/2022,N/A,ANDA,4 POUCH in 1 CARTON (47781-419-04)  / 1 PATCH in 1 POUCH (47781-419-11)  / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Butrans,59011-758-04,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,NDA021306,Purdue Pharma LP,59011-758,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/14/2011,N/A,NDA,4 POUCH in 1 CARTON (59011-758-04)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-022-60,150 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-022,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-022-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-022-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-8,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-0353-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-6,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-0353-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-2,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2018,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-0950-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-4,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-0950-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,62756-459-83,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-459-83),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-3,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-0353-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-5,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-0353-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-4,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-0353-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-2,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-0353-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-8,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-0950-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0228-3156-03,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3156,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3156-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-1,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-0353-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,42858-501-03,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals L.P.,42858-501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-501-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,62756-459-64,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-459-64)  / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-5,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-0950-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-7,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-0950-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,58118-0501-8,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0501-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-0950-6,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-0950-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,60687-481-21,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-481,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-481-21)  / 1 TABLET in 1 BLISTER PACK (60687-481-11)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,71335-0353-7,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,Bryant Ranch Prepack,71335-0353,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/02/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-0353-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
